NE Name,Resource Name,Queue Block,Queue Number,Time,Dequeued (Bytes),Dequeued (Frames),Dropped (Bytes),Dropped (Frames)
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 13:46:17,836771200,6537275,6407197312,50056229
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 13:48:17,986571136,7707587,7555041920,59023764
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 13:50:17,1136340352,8877659,8702654592,67989487
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 13:52:17,1286100352,10047659,9850214656,76954800
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 13:54:17,1435817344,11217323,10997432064,85917437
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 13:56:17,1585580416,12387347,12144989312,94882727
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 13:58:17,1735454080,13558235,13293409024,103854756
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 13:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 13:50:17,0,0,0,0
